Timestamp,RTU_1 DuctStatPress(in/wc)
07-Jan-20 04:10:00 am,0.09
07-Jan-20 04:45:00 am,0.09
07-Jan-20 05:20:00 am,0.08
07-Jan-20 05:55:00 am,0.95
07-Jan-20 06:30:00 am,1.79
07-Jan-20 07:05:00 am,1.77
07-Jan-20 07:40:00 am,1.80
07-Jan-20 08:15:00 am,1.80
07-Jan-20 08:50:00 am,1.82
07-Jan-20 09:25:00 am,1.79
07-Jan-20 10:00:00 am,1.81
07-Jan-20 10:35:00 am,1.79
07-Jan-20 11:10:00 am,1.78
07-Jan-20 11:45:00 am,1.81
07-Jan-20 12:20:00 pm,1.78
07-Jan-20 12:55:00 pm,1.77
07-Jan-20 01:30:00 pm,1.81
07-Jan-20 02:05:00 pm,1.79
07-Jan-20 02:40:00 pm,1.82
07-Jan-20 03:15:00 pm,1.78
07-Jan-20 03:50:00 pm,1.78
07-Jan-20 04:25:00 pm,1.78
07-Jan-20 05:00:00 pm,1.80
07-Jan-20 05:35:00 pm,1.80
07-Jan-20 06:10:00 pm,0.17
07-Jan-20 06:45:00 pm,0.15
07-Jan-20 07:20:00 pm,0.14
07-Jan-20 07:55:00 pm,0.13
07-Jan-20 08:30:00 pm,0.13
07-Jan-20 09:05:00 pm,0.13
07-Jan-20 09:40:00 pm,0.82
07-Jan-20 10:15:00 pm,0.43
07-Jan-20 10:50:00 pm,0.13
07-Jan-20 11:25:00 pm,0.13
08-Jan-20 12:00:00 am,0.12
08-Jan-20 12:35:00 am,0.12
08-Jan-20 01:10:00 am,0.13
08-Jan-20 01:45:00 am,0.12
08-Jan-20 02:20:00 am,0.11
08-Jan-20 02:55:00 am,0.11
08-Jan-20 03:30:00 am,0.12
08-Jan-20 04:05:00 am,0.09
08-Jan-20 04:40:00 am,0.09
08-Jan-20 05:15:00 am,0.10
08-Jan-20 05:50:00 am,0.95
08-Jan-20 06:25:00 am,1.81
08-Jan-20 07:00:00 am,1.78
08-Jan-20 07:35:00 am,1.79
08-Jan-20 08:10:00 am,1.78
08-Jan-20 08:45:00 am,1.79
08-Jan-20 09:20:00 am,1.78
08-Jan-20 09:55:00 am,1.82
08-Jan-20 10:30:00 am,1.80
08-Jan-20 11:05:00 am,1.78
08-Jan-20 11:40:00 am,1.80
08-Jan-20 12:15:00 pm,1.80
08-Jan-20 12:50:00 pm,1.78
08-Jan-20 01:25:00 pm,1.81
08-Jan-20 02:00:00 pm,1.80
08-Jan-20 02:35:00 pm,1.81
08-Jan-20 03:10:00 pm,1.78
08-Jan-20 03:45:00 pm,1.80
08-Jan-20 04:20:00 pm,1.81
08-Jan-20 04:55:00 pm,1.79
08-Jan-20 05:30:00 pm,1.80
08-Jan-20 06:05:00 pm,0.14
08-Jan-20 06:40:00 pm,0.13
08-Jan-20 07:15:00 pm,0.13
08-Jan-20 07:50:00 pm,0.13
08-Jan-20 08:25:00 pm,0.12
08-Jan-20 09:00:00 pm,0.12
08-Jan-20 09:35:00 pm,0.12
08-Jan-20 10:10:00 pm,0.12
08-Jan-20 10:45:00 pm,0.12
08-Jan-20 11:20:00 pm,0.12
08-Jan-20 11:55:00 pm,0.12
09-Jan-20 12:30:00 am,0.12
09-Jan-20 01:05:00 am,0.12
09-Jan-20 01:40:00 am,0.12
09-Jan-20 02:15:00 am,0.13
09-Jan-20 02:50:00 am,0.12
09-Jan-20 03:25:00 am,0.12
09-Jan-20 04:00:00 am,0.11
09-Jan-20 04:35:00 am,0.11
09-Jan-20 05:10:00 am,0.11
09-Jan-20 05:45:00 am,0.68
09-Jan-20 06:20:00 am,1.83
09-Jan-20 06:55:00 am,1.83
09-Jan-20 07:30:00 am,1.82
09-Jan-20 08:05:00 am,1.82
09-Jan-20 08:40:00 am,1.81
09-Jan-20 09:15:00 am,1.80
09-Jan-20 09:50:00 am,1.81
09-Jan-20 10:25:00 am,1.81
09-Jan-20 11:00:00 am,1.81
09-Jan-20 11:35:00 am,1.82
09-Jan-20 12:10:00 pm,1.80
