Timestamp,RTU_1 DAClgSetpt(°F)
12-Feb-20 03:03:06 pm,61.1
12-Feb-20 03:16:58 pm,62.3
12-Feb-20 03:22:37 pm,63.4
12-Feb-20 03:27:59 pm,64.5
13-Feb-20 04:55:18 pm,63.4
13-Feb-20 05:01:04 pm,62.2
13-Feb-20 05:06:41 pm,61.1
13-Feb-20 05:11:50 pm,60.1
13-Feb-20 05:17:00 pm,59.0
13-Feb-20 05:22:04 pm,58.0
13-Feb-20 05:27:04 pm,57.0
13-Feb-20 05:32:17 pm,56.0
13-Feb-20 06:10:41 pm,57.0
13-Feb-20 06:15:59 pm,58.0
13-Feb-20 06:21:08 pm,59.1
13-Feb-20 06:26:35 pm,60.2
13-Feb-20 06:31:47 pm,61.2
13-Feb-20 06:37:24 pm,62.3
13-Feb-20 06:42:28 pm,63.3
13-Feb-20 06:47:44 pm,64.4
14-Feb-20 09:23:38 am,63.4
14-Feb-20 09:28:59 am,62.3
14-Feb-20 09:34:28 am,61.2
14-Feb-20 09:39:28 am,60.2
14-Feb-20 09:44:36 am,59.2
14-Feb-20 09:49:41 am,58.1
14-Feb-20 09:54:41 am,57.1
14-Feb-20 09:59:42 am,56.1
14-Feb-20 10:05:06 am,55.1
14-Feb-20 12:39:05 pm,56.1
14-Feb-20 12:44:11 pm,57.1
14-Feb-20 12:49:17 pm,58.2
14-Feb-20 12:54:22 pm,59.2
14-Feb-20 12:59:21 pm,60.2
14-Feb-20 01:04:30 pm,61.2
14-Feb-20 01:09:30 pm,62.2
14-Feb-20 01:15:00 pm,63.3
14-Feb-20 01:20:52 pm,64.5
14-Feb-20 02:00:00 pm,63.4
14-Feb-20 02:05:00 pm,62.4
14-Feb-20 02:10:32 pm,61.3
14-Feb-20 02:15:45 pm,60.3
14-Feb-20 02:20:52 pm,59.3
14-Feb-20 02:26:15 pm,58.2
14-Feb-20 02:31:56 pm,57.0
14-Feb-20 02:36:58 pm,56.0
14-Feb-20 02:56:21 pm,57.0
14-Feb-20 03:01:34 pm,58.1
14-Feb-20 03:06:34 pm,59.1
14-Feb-20 03:11:34 pm,60.1
14-Feb-20 03:16:36 pm,61.1
14-Feb-20 03:22:34 pm,62.3
14-Feb-20 03:28:05 pm,63.4
14-Feb-20 03:33:49 pm,64.5
17-Feb-20 03:23:51 pm,63.5
17-Feb-20 03:28:58 pm,62.5
17-Feb-20 03:34:28 pm,61.4
17-Feb-20 03:47:25 pm,60.4
17-Feb-20 03:53:12 pm,59.2
17-Feb-20 03:58:14 pm,58.2
17-Feb-20 04:03:37 pm,57.1
17-Feb-20 04:08:50 pm,56.1
17-Feb-20 04:14:10 pm,55.0
17-Feb-20 06:06:32 pm,56.1
17-Feb-20 06:11:48 pm,57.2
17-Feb-20 06:17:38 pm,58.4
17-Feb-20 06:22:46 pm,59.4
17-Feb-20 06:28:39 pm,60.6
17-Feb-20 06:33:54 pm,61.6
17-Feb-20 06:39:09 pm,62.7
17-Feb-20 06:44:34 pm,63.8
17-Feb-20 06:50:20 pm,64.9
18-Feb-20 09:19:25 am,63.8
18-Feb-20 09:25:32 am,62.5
18-Feb-20 09:31:01 am,61.4
18-Feb-20 09:36:23 am,60.4
18-Feb-20 09:42:05 am,59.2
18-Feb-20 09:47:08 am,58.2
18-Feb-20 09:52:18 am,57.2
18-Feb-20 09:57:44 am,56.1
18-Feb-20 10:02:45 am,55.1
18-Feb-20 06:05:56 pm,56.1
18-Feb-20 06:10:57 pm,57.1
18-Feb-20 06:16:35 pm,58.2
18-Feb-20 06:21:50 pm,59.3
18-Feb-20 06:27:17 pm,60.4
18-Feb-20 06:32:39 pm,61.4
18-Feb-20 06:37:40 pm,62.4
18-Feb-20 06:42:41 pm,63.5
18-Feb-20 06:48:18 pm,64.6
19-Feb-20 09:51:06 am,63.5
19-Feb-20 09:56:30 am,62.5
19-Feb-20 10:01:30 am,61.5
19-Feb-20 10:06:30 am,60.5
19-Feb-20 10:11:30 am,59.5
19-Feb-20 10:16:50 am,58.4
19-Feb-20 10:21:54 am,57.4
19-Feb-20 10:27:00 am,56.4
19-Feb-20 10:32:06 am,55.3
19-Feb-20 06:08:09 pm,56.5
19-Feb-20 06:13:10 pm,57.5
19-Feb-20 06:18:48 pm,58.6
19-Feb-20 06:24:00 pm,59.6
19-Feb-20 06:29:00 pm,60.6
19-Feb-20 06:34:21 pm,61.7
19-Feb-20 06:39:21 pm,62.7
19-Feb-20 06:44:40 pm,63.8
19-Feb-20 06:49:53 pm,64.8
20-Feb-20 11:04:53 am,63.8
20-Feb-20 11:09:53 am,62.8
20-Feb-20 11:14:54 am,61.8
20-Feb-20 11:20:31 am,60.6
20-Feb-20 11:25:39 am,59.6
20-Feb-20 11:30:55 am,58.6
20-Feb-20 11:36:50 am,57.4
20-Feb-20 11:41:59 am,56.4
20-Feb-20 11:46:59 am,55.4
20-Feb-20 06:07:47 pm,56.5
20-Feb-20 06:12:59 pm,57.5
20-Feb-20 06:18:04 pm,58.5
20-Feb-20 06:23:19 pm,59.6
20-Feb-20 06:29:07 pm,60.7
20-Feb-20 06:34:59 pm,61.9
20-Feb-20 06:39:59 pm,62.9
20-Feb-20 06:45:00 pm,63.9
20-Feb-20 06:50:00 pm,64.9
21-Feb-20 11:47:27 am,63.8
21-Feb-20 11:52:48 am,62.7
21-Feb-20 11:58:11 am,61.6
21-Feb-20 12:03:50 pm,60.5
21-Feb-20 12:09:07 pm,59.4
21-Feb-20 12:14:45 pm,58.4
21-Feb-20 12:24:41 pm,59.5
21-Feb-20 12:29:52 pm,60.5
21-Feb-20 12:35:29 pm,61.6
21-Feb-20 12:40:29 pm,62.6
21-Feb-20 12:45:29 pm,63.6
21-Feb-20 12:51:16 pm,64.8
21-Feb-20 01:15:00 pm,63.8
21-Feb-20 01:19:59 pm,62.8
21-Feb-20 01:25:00 pm,61.8
21-Feb-20 01:30:01 pm,60.8
21-Feb-20 01:40:35 pm,59.7
21-Feb-20 01:45:50 pm,58.6
21-Feb-20 01:50:49 pm,57.6
21-Feb-20 01:56:23 pm,56.5
21-Feb-20 02:13:36 pm,57.6
21-Feb-20 02:18:48 pm,58.7
21-Feb-20 02:38:24 pm,57.6
21-Feb-20 02:43:39 pm,56.5
