Timestamp,RTU_1 OutdoorTemp(°F)
12-Jan-20 06:05:00 am,43.5
12-Jan-20 06:40:00 am,43.1
12-Jan-20 07:15:00 am,43.0
12-Jan-20 07:50:00 am,43.4
12-Jan-20 08:25:00 am,44.0
12-Jan-20 09:00:00 am,55.8
12-Jan-20 09:35:00 am,47.9
12-Jan-20 10:10:00 am,45.3
12-Jan-20 10:45:00 am,45.2
12-Jan-20 11:20:00 am,45.9
12-Jan-20 11:55:00 am,46.2
12-Jan-20 12:30:00 pm,46.5
12-Jan-20 01:05:00 pm,46.7
12-Jan-20 01:40:00 pm,42.4
12-Jan-20 02:15:00 pm,41.2
12-Jan-20 02:50:00 pm,41.1
12-Jan-20 03:25:00 pm,40.9
12-Jan-20 04:00:00 pm,43.1
12-Jan-20 04:35:00 pm,42.5
12-Jan-20 05:10:00 pm,42.4
12-Jan-20 05:45:00 pm,42.3
12-Jan-20 06:20:00 pm,41.8
12-Jan-20 06:55:00 pm,41.2
12-Jan-20 07:30:00 pm,41.3
12-Jan-20 08:05:00 pm,41.1
12-Jan-20 08:40:00 pm,40.7
12-Jan-20 09:15:00 pm,38.2
12-Jan-20 09:50:00 pm,35.8
12-Jan-20 10:25:00 pm,35.7
12-Jan-20 11:00:00 pm,35.5
12-Jan-20 11:35:00 pm,35.5
13-Jan-20 12:10:00 am,35.5
13-Jan-20 12:45:00 am,35.1
13-Jan-20 01:20:00 am,35.1
13-Jan-20 01:55:00 am,35.1
13-Jan-20 02:30:00 am,35.1
13-Jan-20 03:05:00 am,35.3
13-Jan-20 03:40:00 am,35.3
13-Jan-20 04:15:00 am,35.9
13-Jan-20 04:50:00 am,36.2
13-Jan-20 05:25:00 am,36.7
13-Jan-20 06:00:00 am,35.1
13-Jan-20 06:35:00 am,35.1
13-Jan-20 07:10:00 am,35.0
13-Jan-20 07:45:00 am,35.4
13-Jan-20 08:20:00 am,35.3
13-Jan-20 08:55:00 am,35.2
13-Jan-20 09:30:00 am,34.3
13-Jan-20 10:05:00 am,34.6
13-Jan-20 10:40:00 am,35.5
13-Jan-20 11:15:00 am,36.3
13-Jan-20 11:50:00 am,35.7
13-Jan-20 12:25:00 pm,34.6
13-Jan-20 01:00:00 pm,34.9
13-Jan-20 01:35:00 pm,34.9
13-Jan-20 02:10:00 pm,35.3
13-Jan-20 02:45:00 pm,35.3
13-Jan-20 03:20:00 pm,35.3
13-Jan-20 03:55:00 pm,34.9
13-Jan-20 04:30:00 pm,34.7
13-Jan-20 05:05:00 pm,33.8
13-Jan-20 05:40:00 pm,33.2
13-Jan-20 06:15:00 pm,35.5
13-Jan-20 06:50:00 pm,34.4
13-Jan-20 07:25:00 pm,34.2
13-Jan-20 08:00:00 pm,33.7
13-Jan-20 08:35:00 pm,33.5
13-Jan-20 09:10:00 pm,32.8
13-Jan-20 09:45:00 pm,32.7
13-Jan-20 10:20:00 pm,32.7
13-Jan-20 10:55:00 pm,32.6
13-Jan-20 11:30:00 pm,32.2
14-Jan-20 12:05:00 am,31.7
14-Jan-20 12:40:00 am,31.5
14-Jan-20 01:15:00 am,31.5
14-Jan-20 01:50:00 am,31.0
14-Jan-20 02:25:00 am,31.1
14-Jan-20 03:00:00 am,31.0
14-Jan-20 03:35:00 am,31.1
14-Jan-20 04:10:00 am,31.1
14-Jan-20 04:45:00 am,31.2
14-Jan-20 05:20:00 am,31.6
14-Jan-20 05:55:00 am,30.8
14-Jan-20 06:30:00 am,29.6
14-Jan-20 07:05:00 am,29.8
14-Jan-20 07:40:00 am,29.9
14-Jan-20 08:15:00 am,29.9
14-Jan-20 08:50:00 am,30.4
14-Jan-20 09:25:00 am,30.4
14-Jan-20 10:00:00 am,30.4
14-Jan-20 10:35:00 am,30.4
14-Jan-20 11:10:00 am,30.4
14-Jan-20 11:45:00 am,31.2
14-Jan-20 12:20:00 pm,31.0
14-Jan-20 12:55:00 pm,30.8
14-Jan-20 01:30:00 pm,31.0
14-Jan-20 02:05:00 pm,32.1
14-Jan-20 02:40:00 pm,31.6
14-Jan-20 03:15:00 pm,32.4
14-Jan-20 03:50:00 pm,31.8
14-Jan-20 04:25:00 pm,30.8
14-Jan-20 05:00:00 pm,30.4
14-Jan-20 05:35:00 pm,31.3
14-Jan-20 06:10:00 pm,35.1
14-Jan-20 06:45:00 pm,35.4
14-Jan-20 07:20:00 pm,36.0
14-Jan-20 07:55:00 pm,35.6
14-Jan-20 08:30:00 pm,35.3
14-Jan-20 09:05:00 pm,36.0
14-Jan-20 09:40:00 pm,36.3
14-Jan-20 10:15:00 pm,37.5
14-Jan-20 10:50:00 pm,38.2
14-Jan-20 11:25:00 pm,37.7
15-Jan-20 12:00:00 am,37.3
15-Jan-20 12:35:00 am,36.7
15-Jan-20 01:10:00 am,37.0
15-Jan-20 01:45:00 am,37.4
15-Jan-20 02:20:00 am,37.8
15-Jan-20 02:55:00 am,38.3
15-Jan-20 03:30:00 am,37.4
15-Jan-20 04:05:00 am,36.9
15-Jan-20 04:40:00 am,37.8
15-Jan-20 05:15:00 am,38.3
15-Jan-20 05:50:00 am,37.8
15-Jan-20 06:25:00 am,36.7
15-Jan-20 07:00:00 am,35.6
15-Jan-20 07:35:00 am,35.7
15-Jan-20 08:10:00 am,35.8
15-Jan-20 08:45:00 am,35.5
15-Jan-20 09:20:00 am,35.6
15-Jan-20 09:55:00 am,36.1
15-Jan-20 10:30:00 am,37.8
15-Jan-20 11:05:00 am,38.2
15-Jan-20 11:40:00 am,38.3
15-Jan-20 12:15:00 pm,38.7
15-Jan-20 12:50:00 pm,39.0
15-Jan-20 01:25:00 pm,37.0
15-Jan-20 02:00:00 pm,35.9
15-Jan-20 02:35:00 pm,35.0
15-Jan-20 03:10:00 pm,36.1
15-Jan-20 03:45:00 pm,38.4
15-Jan-20 04:20:00 pm,39.4
15-Jan-20 04:55:00 pm,40.1
15-Jan-20 05:30:00 pm,40.9
15-Jan-20 06:05:00 pm,42.7
15-Jan-20 06:40:00 pm,41.9
15-Jan-20 07:15:00 pm,41.3
15-Jan-20 07:50:00 pm,41.1
15-Jan-20 08:25:00 pm,40.7
15-Jan-20 09:00:00 pm,49.1
15-Jan-20 09:35:00 pm,51.1
15-Jan-20 10:10:00 pm,44.6
15-Jan-20 10:45:00 pm,43.3
15-Jan-20 11:20:00 pm,43.6
15-Jan-20 11:55:00 pm,42.3
16-Jan-20 12:30:00 am,42.0
16-Jan-20 01:05:00 am,42.7
16-Jan-20 01:40:00 am,42.4
16-Jan-20 02:15:00 am,41.8
16-Jan-20 02:50:00 am,41.3
16-Jan-20 03:25:00 am,40.5
16-Jan-20 04:00:00 am,40.8
16-Jan-20 04:35:00 am,39.9
16-Jan-20 05:10:00 am,40.0
16-Jan-20 05:45:00 am,39.8
16-Jan-20 06:20:00 am,39.6
16-Jan-20 06:55:00 am,39.4
16-Jan-20 07:30:00 am,39.2
16-Jan-20 08:05:00 am,39.4
16-Jan-20 08:40:00 am,39.8
16-Jan-20 09:15:00 am,40.5
16-Jan-20 09:50:00 am,42.9
16-Jan-20 10:25:00 am,43.6
16-Jan-20 11:00:00 am,44.9
16-Jan-20 11:35:00 am,47.5
16-Jan-20 12:10:00 pm,46.5
16-Jan-20 12:45:00 pm,47.1
16-Jan-20 01:20:00 pm,48.7
16-Jan-20 01:55:00 pm,47.8
16-Jan-20 02:30:00 pm,47.8
16-Jan-20 03:05:00 pm,47.0
16-Jan-20 03:40:00 pm,45.4
16-Jan-20 04:15:00 pm,43.5
16-Jan-20 04:50:00 pm,43.2
16-Jan-20 05:25:00 pm,41.7
16-Jan-20 06:00:00 pm,40.8
16-Jan-20 06:35:00 pm,39.4
16-Jan-20 07:10:00 pm,37.4
16-Jan-20 07:45:00 pm,37.5
16-Jan-20 08:20:00 pm,38.5
16-Jan-20 08:55:00 pm,38.5
16-Jan-20 09:30:00 pm,37.8
16-Jan-20 10:05:00 pm,37.7
16-Jan-20 10:40:00 pm,38.2
16-Jan-20 11:15:00 pm,38.0
16-Jan-20 11:50:00 pm,37.4
17-Jan-20 12:25:00 am,36.9
17-Jan-20 01:00:00 am,37.5
17-Jan-20 01:35:00 am,37.7
17-Jan-20 02:10:00 am,36.8
17-Jan-20 02:45:00 am,36.8
